PremiseID,PremisesName,AltPremisesName,Customer,TenancyUnitShopOrLevel,BuildingType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,SectorComparisonDial,RatingProgressMetricForEnergyWithoutGreenPower,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensity,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,WaterStarRatingValue,WaterStarRatingValueNoRW,RatingProgressMetricForWaterWithoutRecycledWater,RatingProgressMetricForWaterWithRecycledWater,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,MainRatingAttribute,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,RetailStoreCategory,School_SubSector,School_Remoteness,RatedElectricity,RatedGas,SchoolRatedLPG,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%,EmbodiedCarbonStarRating,RatingProgressMetricForEmbodiedCarbon,CarbonIntensityPerM2,TotalEmissionsA1-A5,TotalStoredEmissions_KGCO2e,TotalStoredEmissions_%,TotalOffsetEmissions_KGCO2e,TotalOffsetEmissions_%
9155,Citadines on Bourke,Citadines on Bourke,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="131-135",Bourke Street,MELBOURNE,VIC,3000,-37.81268409,144.96930926,WV1030,Waste,,30/09/2025,,,,,,,,,,,,,,,,,NO,30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9171,Pullman King George Square,Pullman King George Square,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="2",Roma Street,BRISBANE CITY,QLD,4000,-27.46820483,153.02274136,WV1033,Waste,,08/10/2025,,,,,,,,,,,,,,,,,NO,08/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9327,Citadines Connect Sydney Airport,Citadines Connect Sydney Airport,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="121",Baxter Road,MASCOT,NSW,2020,-33.93131921,151.18754287,WV1029,Waste,,28/10/2025,,,,,,,,,,,,,,,,,NO,28/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9328,Citadines Perth,Citadines Perth,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="185",St Georges Terrace,PERTH,WA,6000,-31.95409178,115.85356876,WV1028,Waste,,30/09/2025,,,,,,,,,,,,,,,,,NO,30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0001,Centrelink,Centrelink,Sandran Pty. Ltd.,,Office,="26",Woongarra Street,BUNDABERG CENTRAL,QLD,4670,-24.86627568,152.35418624,OF33063,Energy,Whole Building,10/09/2025,3.50,3.50,,3.9,0.00,NO,,,336308.06,399933.90,174.45,207.45,848.00,,,1636093.26,NO,,,,,,,,,,,,,,,,,,,1927.78,,,,,,,454470.35,0.00,,0.00,0.00,0.00,19.00,18.70,84898.04,369572.31,81.30,,0.00,0.00,84898.04,18.70,0.00,0.00,0.00,0.00,,,,,,,,,
P0002,Centrelink,Centrelink,Sandran Pty. Ltd.,,Office,="5",Maud Street,MAROOCHYDORE,QLD,4558,-26.65637578,153.09482740,OF37663,Energy,Whole Building,10/03/2026,5.50,5.50,,5.6,0.00,NO,,,198996.57,236644.57,98.61,117.26,479.00,,,968091.44,NO,,,,,,,,,,,,,,,,,,,2018.00,,,,,,,268914.29,0.00,,0.00,0.00,0.00,18.00,18.50,49695.36,219218.93,81.50,,0.00,0.00,49695.36,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0005,Charles Darwin Centre,Charles Darwin Centre,PASPALEY PEARLS PROPERTIES PTY LTD,,Office,="19",The Mall,DARWIN CITY,NT,0800,-12.46480766,130.84301589,OF33104,Energy,Base Building,12/09/2025,5.00,5.00,,5.3,0.00,NO,,,1179025.17,972635.19,73.63,60.73,360.00,,,5771667.04,NO,,,,,,,,,,,,,,,,,,,16013.74,,,,,,,1587615.18,20354.40,,0.30,930.00,0.60,25.00,24.90,432964.63,1290392.80,74.20,100.00,135742.25,7.80,297222.38,17.10,0.00,0.00,0.00,0.00,,,,,,,,,
P0009,1 Bowen Crescent,1 Bowen Crescent,The Royal Australian and New Zealand College of Obstetricians and Gynaecologists,,Office,="1",Bowen Crescent,MELBOURNE,VIC,3004,-37.83481238,144.97374753,OF37034,Energy,Whole Building,18/12/2025,5.00,5.00,,5.0,0.00,NO,,,166244.60,193203.17,68.87,80.03,335.00,,,808757.49,NO,,,,,,,,,,,,,,,,,,,2414.00,,,,,,,224654.86,0.00,,0.00,0.00,0.00,19.00,18.50,41637.02,183017.85,81.50,,0.00,0.00,41637.02,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0010,The Gateway,The Gateway,SPARTOHORI PTY LTD,,Office,="168",Parry Street,NEWCASTLE WEST,NSW,2302,-32.92619314,151.75794038,OF33981,Energy,Base Building,24/12/2025,5.50,5.50,,5.6,0.00,NO,,,139370.19,137486.80,37.60,37.09,182.00,,,678017.12,NO,,,,,,,,,,,,,,,,,,,3706.34,,,,,,,188338.09,0.00,,0.00,0.00,0.00,19.00,18.50,34881.45,153456.64,81.50,,0.00,0.00,34881.45,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0010,The Gateway,The Gateway,SPARTOHORI PTY LTD,,Office,="168",Parry Street,NEWCASTLE WEST,NSW,2302,-32.92619314,151.75794038,OF33981,Water,Base Building,24/12/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.8,4.8,0.00,NO,1463.040,1463.040,0.390,0.390,,,,,,,,3706.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0011,3 Acacia Place,,MTAA Superannuation Fund (Ferntree Business Park) Property Pty Ltd,,Office,="3",Acacia Place,NOTTING HILL,VIC,3168,-37.90315605,145.13486675,N69040,Indoor environment,Base Building,25/08/2025,,,,,0.00,,,3.50,0.00,0.00,0.00,0.00,,,,,NO,,,,,,,,,,,,40.00,84.20,90.60,0.00,0.00,,,4639.70,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0011,3 Acacia Place,3 Acacia Place,MTAA Superannuation Fund (Ferntree Business Park) Property Pty Ltd,,Office,="3",Acacia Place,NOTTING HILL,VIC,3168,-37.90315605,145.13486675,OF32709,Energy,Base Building,24/08/2025,5.00,5.00,,5.0,0.00,NO,,,194406.13,214844.24,41.90,46.30,450.00,,,2088484.18,NO,,,,,,,,,,,,,,,,,,,4639.79,,,,,,,136254.10,1574346.22,,75.40,612.00,1.10,4.00,4.40,25562.16,110691.94,19.10,,0.00,0.00,25562.16,4.40,0.00,0.00,0.00,0.00,,,,,,,,,
P0011,3 Acacia Place,3 Acacia Place,MTAA Superannuation Fund (Ferntree Business Park) Property Pty Ltd,,Office,="3",Acacia Place,NOTTING HILL,VIC,3168,-37.90315605,145.13486675,OF32709,Water,Base Building,24/08/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,5.00,5.00,5.3,5.3,0.00,NO,1291.640,1291.640,0.270,0.270,,,,,,,,4639.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0012,863 Hay Street,863 Hay Street,The Perth Diocesan Trustees,,Office,="863",Hay Street,PERTH,WA,6000,-31.95299713,115.85328270,OF32443,Energy,Base Building,25/08/2025,5.00,5.00,,5.3,0.00,NO,,,475420.61,340955.22,48.71,34.93,234.00,,,2286478.74,NO,,,,,,,,,,,,,,,,,,,9759.86,,,,,,,611206.32,86135.99,,3.80,0.00,0.00,18.00,18.10,114666.31,496540.01,78.20,70.00,0.00,0.00,114666.31,18.10,0.00,0.00,0.00,0.00,,,,,,,,,
P0012,863 Hay Street,863 Hay Street,The Perth Diocesan Trustees,,Office,="863",Hay Street,PERTH,WA,6000,-31.95299713,115.85328270,OF32443,Water,Base Building,25/08/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,0.00,0.00,0.0,0.0,0.00,NO,16798.090,16798.090,1.720,1.720,,,,,,,,9759.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0013,117 Harrington St,117 Harrington St,Terraform Harrington Pty. Ltd,,Office,="117-119",Harrington Street,THE ROCKS,NSW,2000,-33.86211589,151.20667489,OF34850,Energy,Base Building,14/01/2026,5.00,5.00,,5.0,0.00,NO,,,58498.05,57707.53,53.45,52.72,260.00,,,284585.11,NO,,,,,,,,,,,,,,,,,,,1094.46,,,,,,,79051.42,0.00,,0.00,0.00,0.00,19.00,18.60,14700.97,64350.44,81.40,,0.00,0.00,14700.97,18.60,0.00,0.00,0.00,0.00,,,,,,,,,
P0014,Kusu House,Kusu House,FIFTY TWO PHILLIP STREET PTY LIMITED ATF FIFTY TWO PHILLIP UNIT TRUST,,Office,="52",Phillip Street,SYDNEY,NSW,2000,-33.86409312,151.21204012,OF38609,Energy,Base Building,19/05/2026,6.00,4.50,,4.5,93.39,YES,,,37168.99,201607.20,13.65,74.03,502.00,,,1369573.39,NO,,,,,,,,,,,,,,,,,,,2722.98,,,,,,,225257.83,512132.21,,37.40,1205.00,3.40,59.00,59.20,225257.83,0.00,0.00,,0.00,0.00,14886.12,3.90,210371.71,55.30,0.00,0.00,,,,,,,,,
P0014,Kusu House,Kusu House,FIFTY TWO PHILLIP STREET PTY LIMITED ATF FIFTY TWO PHILLIP UNIT TRUST,,Office,="52",Phillip Street,SYDNEY,NSW,2000,-33.86409312,151.21204012,OF38609,Water,Base Building,19/05/2026,,,,,93.39,,,,0.00,0.00,0.00,0.00,,,,,NO,,2.50,2.50,2.6,2.6,0.00,NO,3035.180,3035.180,1.110,1.110,,,,,,,,2722.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0015,131 Hasler Road,131 Hasler Road,Shannonbrae Pty Ltd ATF Brown Neaves Investment Trust,,Office,="131",Hasler Road,OSBORNE PARK,WA,6017,-31.91631773,115.81524180,OF41215,Energy,Whole Building,11/06/2026,3.00,3.00,,3.4,0.00,NO,,,211753.00,197445.36,141.65,132.07,689.00,,,1030149.72,NO,,,,,,,,,,,,,,,,,,,1494.90,,,,,,,286152.70,0.00,,0.00,0.00,0.00,18.00,18.50,52881.02,233271.68,81.50,,0.00,0.00,52881.02,18.50,0.00,0.00,0.00,0.00,,,,,,,,,
P0015,131 Hasler Road,131 Hasler Road,Shannonbrae Pty Ltd ATF Brown Neaves Investment Trust,,Office,="131",Hasler Road,OSBORNE PARK,WA,6017,-31.91631773,115.81524180,OF41215,Water,Whole Building,11/06/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.50,4.50,4.7,4.7,0.00,NO,597.020,597.020,0.390,0.390,,,,,,,,1494.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0016,Anglo American Building,Anglo American Building,Tackelly No. 6 Pty Ltd,,Office,="201",Charlotte Street,BRISBANE CITY,QLD,4000,-27.46967430,153.02915310,N69044,Waste,Base Building,27/08/2025,,,,,0.00,,1.50,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,12.00,3.24,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0016,Anglo American Building,Anglo American Building,Tackelly No.6 Pty Ltd,,Office,="201",Charlotte Street,BRISBANE CITY,QLD,4000,-27.46967430,153.02915310,OF31984,Energy,Base Building,21/08/2025,4.50,4.50,,4.9,0.00,NO,,,843195.20,963111.26,78.70,89.89,370.00,,,3967757.52,NO,,,,,,,,,,,,,,,,,,,10714.30,,,,,,,1090145.98,0.00,,0.00,1120.00,1.10,21.00,20.90,236752.74,885184.24,78.10,,31791.00,2.80,204961.74,18.10,0.00,0.00,0.00,0.00,,,,,,,,,
P0016,Anglo American Building,Anglo American Building,Tackelly No.6 Pty Ltd,,Office,="201",Charlotte Street,BRISBANE CITY,QLD,4000,-27.46967430,153.02915310,OF31984,Water,Base Building,21/08/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.4,4.4,0.00,NO,7107.000,7107.000,0.660,0.660,,,,,,,,10714.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0019,63 Exhibition Street,63 Exhibition Street,The Trustee for THE 63 EXHIBITION JOINT VENTURE UNIT TRUST,,Office,="63",Exhibition Street,MELBOURNE,VIC,3000,-37.81460260,144.97129420,OF37386,Energy,Base Building,22/02/2026,0.00,0.00,,0.0,0.00,NO,,,500650.86,553025.11,417.54,461.22,3978.00,,,4770872.04,NO,,,,,,,,,,,,,,,,,,,1199.04,,,,,,,436452.18,3199644.20,,67.10,0.00,0.00,6.00,6.10,81005.52,355446.66,26.80,,0.00,0.00,81005.52,6.10,0.00,0.00,0.00,0.00,,,,,,,,,
P0022,"111 Eagle Street, BRISBANE CITY, QLD 4000","111 Eagle Street, BRISBANE CITY, QLD 4000",GPT Management Holdings Limited (ACN 113 510  188) trading as Space&Co,54,Office,="111",Eagle Street,BRISBANE CITY,QLD,4000,-27.46759200,153.03035600,OF37853,Energy,Tenancy,14/04/2026,5.00,5.00,,5.3,0.00,NO,,,0.00,53462.82,0.00,37.38,152.00,,,218711.55,NO,,,,,,,,,,,,,,,,,,,1430.00,,,,,,,60753.21,0.00,,0.00,0.00,0.00,100.00,100.00,60753.21,0.00,0.00,,0.00,0.00,8753.21,14.40,0.00,0.00,52000.00,85.60,,,,,,,,,
P0022,"111 Eagle Street, BRISBANE CITY, QLD 4000","111 Eagle Street, BRISBANE CITY, QLD 4000",The GPT Group,,Office,="111",Eagle Street,BRISBANE CITY,QLD,4000,-27.46759200,153.03035600,N69103,Waste,Base Building,25/10/2025,,,,,0.00,,3.50,,0.00,,0.00,,,,,,NO,,,,,,,,,,,,,,,,,42.00,4.23,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0022,"111 Eagle Street, BRISBANE CITY, QLD 4000","111 Eagle Street, BRISBANE CITY, QLD 4000",The GPT Group,,Office,="111",Eagle Street,BRISBANE CITY,QLD,4000,-27.46759200,153.03035600,OF37236,Energy,Base Building,29/04/2026,5.50,5.50,,5.7,0.00,NO,,,42345.70,3261984.18,0.70,53.80,228.00,,,13858442.92,YES,29/04/2026,,,,,,,,,,,,,,,,,,60620.63,,,,,,,3658680.09,654539.00,,4.70,846.00,0.20,95.00,95.00,3658680.09,0.00,0.00,,0.00,0.00,675680.09,17.60,0.00,0.00,2983000.00,77.50,,,,,,,,,
P0022,"111 Eagle Street, BRISBANE CITY, QLD 4000","111 Eagle Street, BRISBANE CITY, QLD 4000",The GPT Group,,Office,="111",Eagle Street,BRISBANE CITY,QLD,4000,-27.46759200,153.03035600,OF37236,Water,Base Building,29/04/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,YES,29/04/2026,4.50,4.50,4.5,4.5,0.00,NO,35934.200,35934.200,0.590,0.590,,,,,,,,60620.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0024,The Good Shed,The Good Shed,WALKER CORPORATION PTY LIMITED,,Office,="710",Collins Street,DOCKLANDS,VIC,3008,-37.81991170,144.95039230,OF33391,Energy,Base Building,27/10/2025,5.50,5.50,,5.8,0.00,NO,,,263865.16,289346.76,26.24,28.77,267.00,,,2686446.77,NO,,,,,,,,,,,,,,,,,,,10055.32,,,,,,,212346.73,1921998.55,,71.50,0.00,0.00,5.00,5.30,39754.09,172592.64,23.10,,0.00,0.00,39754.09,5.30,0.00,0.00,0.00,0.00,,,,,,,,,
P0024,The Good Shed,The Good Shed,WALKER CORPORATION PTY LIMITED,,Office,="710",Collins Street,DOCKLANDS,VIC,3008,-37.81991170,144.95039230,OF33391,Water,Base Building,27/10/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.3,4.3,0.00,NO,4618.220,4618.220,0.450,0.450,,,,,,,,10055.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0025,140 Elizabeth Street,140 Elizabeth Street,Shayher Properties Pty Ltd as Trustee for the Lin Brothers Trust,,Office,="140",Elizabeth Street,BRISBANE CITY,QLD,4000,-27.47001600,153.02600700,OF33913,Energy,Base Building,05/12/2025,5.00,5.00,,5.0,0.00,NO,,,649933.43,772893.80,72.59,86.32,353.00,,,3161838.27,NO,,,,,,,,,,,,,,,,,,,8953.37,,,,,,,878288.41,0.00,,0.00,0.00,0.00,19.00,18.60,163010.33,715278.08,81.40,,0.00,0.00,163010.33,18.60,0.00,0.00,0.00,0.00,,,,,,,,,
P0026,91 Phillip St,91 Phillip St,REI Property Sub Trust,,Office,="91",Phillip Street,PARRAMATTA,NSW,2150,-33.81316395,151.00624388,OF41483,Energy,Base Building,09/07/2026,,3.50,,3.5,0.00,NO,,,345552.06,341870.53,106.25,105.11,752.00,,,2446996.33,NO,,,,,,,,,,,,,,,,,,,3252.40,,,,,,,368153.23,1094238.71,,44.70,710.00,1.10,10.00,10.00,68034.72,300118.51,44.20,,0.00,0.00,68034.72,10.00,0.00,0.00,0.00,0.00,,,,,,,,,
P0026,91 Phillip St,91 Phillip St,REI Property Sub Trust,,Office,="91",Phillip Street,PARRAMATTA,NSW,2150,-33.81316395,151.00624388,OF41483,Water,Base Building,09/07/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,1.50,1.50,1.8,1.8,0.00,NO,4623.000,4623.000,1.420,1.420,,,,,,,,3252.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0028,Westralia Plaza,Westralia Plaza,Far East New Central Investments Pty Ltd,,Office,="167",St Georges Terrace,PERTH,WA,6000,-31.95440240,115.85413970,OF36047,Energy,Base Building,28/11/2025,4.50,4.50,,4.9,0.00,NO,,,433487.38,406224.23,56.63,53.07,326.00,,,2502094.77,NO,,,,,,,,,,,,,,,,,,,7654.26,,,,,,,545262.93,539148.23,,21.50,0.00,0.00,15.00,14.70,101858.69,443404.24,63.80,,0.00,0.00,101858.69,14.70,0.00,0.00,0.00,0.00,,,,,,,,,
P0028,Westralia Plaza,Westralia Plaza,Far East New Central Investments Pty Ltd,,Office,="167",St Georges Terrace,PERTH,WA,6000,-31.95440240,115.85413970,OF36047,Water,Base Building,28/11/2025,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,4.00,4.00,4.1,4.1,0.00,NO,4417.300,4417.300,0.570,0.570,,,,,,,,7654.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0029,Cairns Commonwealth Centre,Cairns Commonwealth Centre,Sandran Pty Ltd,,Office,="107",Lake Street,CAIRNS CITY,QLD,4870,-16.92221300,145.77483720,OF37292,Energy,Whole Building,27/01/2026,4.50,4.50,,4.9,0.00,NO,,,546629.22,649441.71,146.16,173.64,716.00,,,2680226.89,NO,,,,,,,,,,,,,,,,,,,3740.00,,,,,,,734374.97,0.00,,0.00,945.00,1.40,18.00,18.30,136299.99,598074.98,80.30,,0.00,0.00,136299.99,18.30,0.00,0.00,0.00,0.00,,,,,,,,,
P0030,Holt & Hart,Holt & Hart,Holt & Hart - Owners corporation SP84165,,Office,="50",Holt Street,SURRY HILLS,NSW,2010,-33.88648000,151.20956120,OF36878,Energy,Base Building,27/01/2026,4.00,4.00,,4.0,0.00,NO,,,478516.19,472181.55,80.96,79.88,411.00,,,2431375.37,NO,,,,,,,,,,,,,,,,,,,5910.40,,,,,,,633463.69,150906.09,,6.20,0.00,0.00,17.00,17.40,117570.86,515892.83,76.40,,0.00,0.00,117570.86,17.40,0.00,0.00,0.00,0.00,,,,,,,,,
P0030,Holt & Hart,Holt & Hart,Holt & Hart - Owners corporation SP84165,,Office,="50",Holt Street,SURRY HILLS,NSW,2010,-33.88648000,151.20956120,OF36878,Water,Base Building,27/01/2026,,,,,0.00,,,,0.00,0.00,0.00,0.00,,,,,NO,,2.00,2.00,2.4,2.4,0.00,NO,7034.900,7034.900,1.190,1.190,,,,,,,,5910.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0031,183 Varsity Parade,183 Varsity Parade,CLARENCE PROPERTY CORPORATION LIMITED AS TRUSTEE FOR WESTLAWN PROPERTY TRUST,,Office,="183",Varsity Parade,VARSITY LAKES,QLD,4227,-28.07917230,153.41233473,OF32748,Energy,Base Building,31/12/2025,6.00,6.00,,6.0,0.00,NO,,,0.00,157136.58,0.00,50.08,204.00,,,642831.48,YES,31/12/2025,,,,,,,,,,,,,,,,,,3137.68,,,,,,,178564.30,0.00,,0.00,0.00,0.00,100.00,100.00,315730.92,0.00,0.00,100.00,137166.62,43.40,32564.30,10.30,0.00,0.00,146000.00,46.20,,,,,,,,,
